address,id_mrigo,mrigo
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630047, г Новосибирск, ул Залесского, д. 6, корп. 8, 82.934803, 55.072798",23.0,Новосибирск
"Новосибирская область, 630047, г Новосибирск, ул Залесского, д. 6, корп. 8, 82.934803, 55.072798",23.0,Новосибирск
"Новосибирская область, 630047, г Новосибирск, ул Залесского, д. 6, корп. 8, 82.934803, 55.072798",23.0,Новосибирск
"Новосибирская область, 630073, г Новосибирск, ул Блюхера, д. 77, 82.904772, 54.993649",23.0,Новосибирск
"Новосибирская область, 630073, г Новосибирск, ул Блюхера, д. 77, 82.904772, 54.993649",23.0,Новосибирск
"Новосибирская область, 630052, г Новосибирск, пер Архонский, д. 2а, корп. 8, офис 25, 82.810134, 54.955681",23.0,Новосибирск
"Новосибирская область, 630107, г Новосибирск, ул Троллейная, д. Дом  130а, ТРЦ Континент, Студия маникюра, 2 этаж, 82.852966, 54.966463",23.0,Новосибирск
